,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
9632,Jun,2,Friday,Pontiac,Urban,Thursday,Aug,4,Male,Single,31.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,12865,7,400,1.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,660.603308284216
9633,Jun,2,Friday,Toyota,Urban,Wednesday,Jun,4,Female,Single,42.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12866,1,700,4.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,19972.8156512565
9634,May,5,Sunday,Honda,Urban,Thursday,Jun,1,Male,Single,32.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12867,2,400,3.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,7425.76410492404
9635,Jun,2,Friday,Mazda,Urban,Monday,Jun,2,Male,Single,30.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12868,10,400,2.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,4760.42924736387
9636,May,3,Friday,Toyota,Urban,Friday,Jun,2,Male,Single,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12869,3,400,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,871.565645279824
9637,May,2,Wednesday,Chevrolet,Urban,Thursday,May,3,Male,Married,33.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12870,10,400,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,6557.84230939324
9638,Apr,4,Tuesday,Pontiac,Urban,Tuesday,May,4,Male,Married,42.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,12871,9,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,10603.7617364536
9639,Mar,2,Tuesday,Toyota,Urban,Wednesday,Mar,4,Male,Married,76.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12872,3,400,3.0,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,12134.4907512903
9640,Dec,4,Friday,Honda,Rural,Tuesday,Dec,4,Male,Single,0.0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,12873,10,400,1.0,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils,65821.0879310162
9641,Jan,5,Friday,Mazda,Urban,Monday,Feb,2,Male,Married,74.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12874,1,400,1.0,more than 30,more than 30,1,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,4791.83994687527
9642,May,2,Monday,VW,Urban,Tuesday,May,2,Male,Married,38.0,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,12875,6,400,4.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,3 to 4,1996,Collision,35913.7512601211
9643,Dec,1,Monday,Chevrolet,Urban,Monday,Dec,1,Female,Single,27.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12876,4,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,6093.06509202289
9644,Dec,1,Saturday,Pontiac,Urban,Monday,Dec,1,Male,Married,52.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12877,6,400,2.0,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,1851.79839990154
9645,Dec,1,Monday,Honda,Urban,Monday,Dec,1,Male,Married,41.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12878,11,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,5875.52341535133
9646,Sep,5,Saturday,Chevrolet,Urban,Monday,Oct,1,Male,Married,51.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12879,15,400,2.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,2738.46117741394
9647,Sep,3,Monday,Chevrolet,Urban,Monday,Sep,3,Female,Married,53.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12880,11,400,2.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,56032.0631788265
9648,Sep,3,Friday,Pontiac,Urban,Friday,Sep,3,Male,Married,64.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12881,1,400,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,85807.9055111522
9649,Aug,3,Tuesday,Toyota,Urban,Wednesday,Aug,3,Male,Married,29.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12882,15,400,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,5005.57554841496
9650,Jun,4,Tuesday,Honda,Urban,Wednesday,Jun,5,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12883,13,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,4943.47759408799
9651,Jun,4,Thursday,Ford,Urban,Friday,Jun,4,Male,Married,49.0,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,12884,8,400,3.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,11456.03736347
9652,Jun,3,Saturday,VW,Urban,Friday,Jun,4,Male,Married,34.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12885,2,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,78329.3094934641
9653,May,2,Tuesday,Mazda,Urban,Thursday,Dec,2,Male,Single,34.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12886,11,400,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,58488.9243920724
9654,Apr,1,Saturday,Honda,Urban,Tuesday,Apr,1,Female,Married,40.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12887,12,400,3.0,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,1276.78008860595
9655,Mar,4,Sunday,Mazda,Urban,Wednesday,Apr,1,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12888,14,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,6469.86771661703
9656,Mar,4,Sunday,Mazda,Urban,Tuesday,Apr,1,Male,Single,23.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12889,10,400,4.0,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,3425.07224355563
9657,Jun,2,Saturday,Mazda,Rural,Monday,Jun,2,Male,Single,36.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12890,12,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,5475.29808286454
9658,Nov,5,Monday,Pontiac,Urban,Monday,Nov,5,Male,Single,19.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12892,13,400,1.0,more than 30,more than 30,2 to 4,2 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,1523.03455146273
9659,Nov,4,Saturday,Chevrolet,Urban,Tuesday,Nov,5,Male,Married,42.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,12893,9,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,75452.0951281647
9660,Oct,4,Tuesday,Chevrolet,Urban,Tuesday,Oct,4,Male,Married,27.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,12894,15,400,1.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,77167.2232461485
9661,Sep,5,Friday,Toyota,Urban,Tuesday,Oct,1,Male,Married,33.0,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,12895,10,400,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,17223.5948486435
9662,Sep,4,Sunday,Mazda,Urban,Monday,Sep,4,Male,Married,30.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12896,15,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,8873.34798835255
9663,Jul,2,Thursday,Chevrolet,Urban,Thursday,Jul,3,Male,Married,47.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12897,14,700,4.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,69417.9546199162
9664,May,3,Tuesday,Pontiac,Urban,Thursday,May,3,Male,Married,47.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,12898,12,400,2.0,15 to 30,15 to 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,50099.5570573993
9665,May,3,Saturday,Mazda,Rural,Monday,May,3,Male,Married,50.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12899,11,400,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,3425.62844105852
9666,May,2,Saturday,Mazda,Urban,Wednesday,May,2,Male,Married,49.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12900,2,400,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,2855.88011609707
9667,Feb,3,Tuesday,Honda,Urban,Tuesday,Feb,3,Male,Single,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12901,10,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,6367.29579916088
9668,Feb,1,Thursday,Pontiac,Rural,Monday,Feb,2,Male,Married,31.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12902,10,400,2.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,5071.38346897595
9669,Oct,4,Thursday,Honda,Urban,Thursday,Oct,4,Male,Married,61.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12904,15,500,3.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability,2650.1068939021
9670,Oct,4,Tuesday,Toyota,Urban,Tuesday,Oct,4,Male,Married,63.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12905,14,400,2.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,6291.65324233926
9671,Oct,1,Saturday,Mazda,Urban,Friday,Oct,4,Male,Single,20.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12906,8,400,1.0,more than 30,more than 30,1,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1996,Collision,5408.25239755367
9672,Sep,2,Monday,Mazda,Urban,Tuesday,Sep,2,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12907,12,400,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,71748.162923114
9673,Sep,2,Sunday,Toyota,Urban,Tuesday,Sep,2,Male,Married,19.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12908,9,400,1.0,more than 30,more than 30,none,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1996,Collision,6482.6326122292
9674,Jul,1,Friday,Pontiac,Urban,Monday,Jul,3,Male,Married,46.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12911,9,400,4.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,9271.02001798208
9675,Jul,3,Saturday,Toyota,Urban,Friday,Jul,4,Male,Married,63.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12912,1,400,2.0,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,70088.570349367
9676,Oct,3,Thursday,Honda,Urban,Thursday,Oct,3,Female,Married,39.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12913,5,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,1204.66638249946
9677,Jun,3,Tuesday,Honda,Urban,Tuesday,Jul,2,Female,Single,27.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12916,15,400,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,3 to 4,1996,Liability,1740.52800194968
9678,Aug,1,Saturday,Honda,Urban,Monday,Aug,2,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12919,9,400,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1996,Collision,7916.71944221626
9679,Nov,3,Wednesday,Mazda,Urban,Monday,Dec,1,Female,Married,42.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12921,6,400,3.0,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,3281.45875426955
9680,Jun,2,Monday,Mazda,Urban,Thursday,Jun,3,Female,Married,51.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,12922,1,400,3.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,2030.40158015058
9681,Nov,3,Friday,Toyota,Urban,Monday,Nov,3,Female,Single,67.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12923,5,400,3.0,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,1 year,1 vehicle,1996,Liability,8456.30844129647
9682,Nov,3,Saturday,Accura,Urban,Tuesday,Dec,1,Male,Married,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12924,9,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,7323.6134817852
9683,Aug,2,Thursday,Toyota,Urban,Monday,Aug,5,Male,Married,26.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12926,4,400,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,13232.3751260524
9684,Aug,1,Sunday,Accura,Urban,Monday,Aug,2,Male,Married,46.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12927,6,400,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,3409.25239448381
9685,Jul,4,Sunday,Honda,Urban,Tuesday,Aug,1,Male,Single,34.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12928,2,400,3.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,39479.2761209551
9686,Jul,3,Monday,VW,Rural,Tuesday,Jul,3,Male,Married,48.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12930,10,400,2.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,83668.4834825504
9687,Jun,5,Friday,Chevrolet,Urban,Wednesday,Jul,1,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12932,15,400,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,50754.8040303591
9688,Jun,2,Wednesday,Mazda,Urban,Friday,Jun,3,Male,Single,31.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12935,5,400,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,5202.59950329044
9689,Apr,2,Wednesday,Toyota,Urban,Tuesday,Apr,3,Male,Married,51.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12936,7,400,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,8288.62316491257
9690,Apr,2,Monday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,51.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12937,9,400,2.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision,6775.29936390993
9691,Apr,1,Saturday,Chevrolet,Urban,Monday,Apr,1,Female,Single,21.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12938,9,400,2.0,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,All Perils,5813.14587845976
9692,Jan,2,Tuesday,Mazda,Urban,Wednesday,Jan,3,Female,Single,0.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12939,1,400,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,6860.1179032814
9693,Dec,3,Friday,Honda,Rural,Thursday,Aug,1,Male,Married,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12940,6,400,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,2555.82979118491
9694,Dec,3,Thursday,Honda,Urban,Thursday,Dec,3,Male,Married,31.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12941,2,400,1.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,12484.4270551265
9695,Nov,2,Friday,Ford,Urban,Tuesday,Nov,3,Male,Married,32.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12942,14,400,3.0,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,956.576311975861
9696,Nov,2,Friday,Pontiac,Urban,Thursday,Nov,3,Male,Married,54.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12943,12,400,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,6223.27205814149
9697,Oct,3,Friday,Honda,Urban,Monday,Dec,2,Female,Single,34.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12944,14,400,4.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,5721.31448514446
9698,Oct,1,Monday,Mazda,Urban,Wednesday,Oct,1,Male,Married,36.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12945,12,400,4.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,3546.61411831788
9699,Jul,3,Saturday,Pontiac,Urban,Tuesday,Jul,3,Male,Single,35.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12948,1,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,8623.21933499414
9700,May,5,Monday,Mazda,Urban,Wednesday,Jun,3,Male,Married,32.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12951,10,400,2.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,7723.95703428084
9701,May,4,Saturday,Mazda,Urban,Tuesday,May,4,Male,Married,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12952,9,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,2071.03429135621
9702,May,2,Friday,Toyota,Urban,Tuesday,May,3,Male,Married,38.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12953,5,400,1.0,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,5852.22842252965
9703,Jun,2,Tuesday,Honda,Urban,Wednesday,Jun,3,Male,Married,45.0,Third Party,Sport - Collision,Sport,more than 69000,0,12954,8,400,3.0,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,59263.7024344489
9704,May,2,Monday,Chevrolet,Urban,Friday,May,3,Female,Married,53.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12955,5,500,4.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability,18459.1452601565
9705,Apr,3,Wednesday,Chevrolet,Urban,Thursday,Apr,4,Male,Married,44.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12957,14,400,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1996,Liability,54631.3845266328
9706,Apr,1,Wednesday,Toyota,Urban,Thursday,Apr,2,Female,Married,45.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12958,1,400,2.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Collision,6536.49829755522
9707,Aug,5,Wednesday,Ford,Urban,Wednesday,Aug,5,Male,Married,41.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,12959,2,700,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,52565.741889423
9708,Jan,3,Sunday,Ford,Urban,Thursday,Jan,3,Male,Married,56.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12960,3,400,4.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,none,no change,1 vehicle,1996,Collision,22271.4142206795
9709,Dec,4,Tuesday,Toyota,Urban,Wednesday,Dec,4,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12961,6,400,1.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,2398.40115670962
9710,Feb,2,Tuesday,Toyota,Urban,Wednesday,Feb,2,Female,Single,46.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12962,7,400,3.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,7135.73074168616
9711,Feb,2,Saturday,Toyota,Urban,Tuesday,Feb,3,Male,Single,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12964,5,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,7082.56907991554
9712,Aug,1,Monday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,74.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,12965,5,400,4.0,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,2190.48887007479
9713,Jul,2,Sunday,Pontiac,Urban,Thursday,Sep,2,Male,Married,36.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12966,16,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,81995.2899889665
9714,Sep,1,Thursday,Honda,Urban,Friday,Sep,3,Male,Married,43.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12967,4,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,41177.6858759403
9715,Sep,1,Thursday,Pontiac,Urban,Friday,Oct,2,Male,Single,28.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12968,16,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,70910.432402714
9716,Nov,5,Monday,Toyota,Urban,Thursday,Dec,3,Male,Single,25.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12969,4,400,2.0,more than 30,more than 30,1,3 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,1992.85307035589
9717,Apr,2,Friday,Nisson,Urban,Friday,May,3,Male,Married,50.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12971,16,400,4.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,63660.5001628602
9718,Aug,4,Friday,Dodge,Urban,Friday,Aug,4,Male,Married,52.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12972,12,400,1.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,59306.5345965972
9719,Aug,4,Sunday,Toyota,Urban,Tuesday,Aug,5,Male,Single,52.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12973,3,400,3.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,1315.24613101858
9720,Aug,4,Thursday,Mazda,Urban,Monday,Sep,1,Male,Single,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12974,12,400,1.0,none,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,9342.86116859315
9721,Oct,2,Tuesday,Pontiac,Urban,Monday,Oct,3,Male,Married,46.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12975,5,400,1.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,7294.2193086912
9722,Jun,3,Wednesday,Pontiac,Urban,Thursday,Jun,4,Male,Married,31.0,Policy Holder,Sedan - Liability,Sport,less than 20000,0,12977,7,400,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,938.519431122069
9723,Dec,2,Thursday,Mazda,Urban,Tuesday,Dec,2,Male,Married,41.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12978,1,400,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,54082.7671005365
9724,Dec,2,Saturday,Chevrolet,Urban,Monday,Dec,2,Male,Married,26.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12979,13,400,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,4 to 8 years,2 vehicles,1996,Collision,3821.26084792236
9725,Dec,2,Saturday,Toyota,Rural,Monday,Dec,3,Male,Married,55.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12980,4,400,2.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,8523.84607758052
9726,Mar,3,Wednesday,Pontiac,Urban,Thursday,Mar,3,Female,Single,27.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12981,4,400,2.0,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,11907.6707156152
